id,batch,mapped_label,model_pred,model_conf,brand,smishtank_category,needs_sourcing
635,romance,romance,romance,0.812867283821106,,Wrong Number/Romance Scam,0
28,bank alert,bank alert,bank alert,0.9999591112136841,WELLS FARGO,Account Alert,0
367,__fallback__,other,romance,0.8823092579841614,,Other,0
63,tech support,tech support,tech support,0.9002610445022583,Netflix,Account Alert,0
524,__fallback__,other,delivery and toll,0.5321177840232849,,Account Alert,0
SOURCE-charity-10,charity,charity,,,,,1
890,government impersonation,government impersonation,government impersonation,0.9999939203262329,IRS,Account Alert,0
SOURCE-charity-15,charity,charity,,,,,1
616,delivery and toll,delivery and toll,delivery and toll,0.9999779462814331,,Delivery,0
396,tech support,tech support,delivery and toll,0.3744836747646332,Netflix,Account Alert,0
95,__fallback__,other,romance,0.9566277861595154,,Other,0
550,job offer,job offer,job offer,0.9991582632064819,Amazon,Job Advertisement,0
438,tech support,tech support,delivery and toll,0.38333356380462646,Netflix,Account Alert,0
571,__fallback__,other,investment and crypto,0.32981303334236145,Geico,Account Alert,0
682,bank alert,bank alert,bank alert,0.9999991655349731,Wells Fargo,Account Alert,0
712,job offer,job offer,job offer,0.9999581575393677,American Consumer,Job Advertisement,0
SOURCE-utility-shutoff-13,utility shutoff,utility shutoff,,,,,1
705,__fallback__,other,romance,0.9994292855262756,,Other,0
194,romance,romance,romance,0.8990408182144165,,Wrong Number/Romance Scam,0
990,government impersonation,government impersonation,government impersonation,0.9995102882385254,IRS,Account Alert,0
532,tech support,tech support,tech support,0.7523505687713623,Amazon,Account Alert,0
517,romance,romance,family emergency,0.9754212498664856,,Wrong Number/Romance Scam,0
475,__fallback__,other,government impersonation,0.9914668798446655,,Other,0
447,tech support,tech support,job offer,0.39020469784736633,Apple,Account Alert,0
492,delivery and toll,delivery and toll,delivery and toll,0.9999984502792358,UPS,Delivery,0
SOURCE-family-emergency-07,family emergency,family emergency,,,,,1
321,tech support,tech support,delivery and toll,0.36460158228874207,Netflix,Account Alert,0
427,tech support,tech support,delivery and toll,0.2652013301849365,Netflix,Account Alert,0
SOURCE-family-emergency-11,family emergency,family emergency,,,,,1
733,government impersonation,government impersonation,government impersonation,0.9775072932243347,EBT,Account Alert,0
291,__fallback__,other,family emergency,0.9830684661865234,,Other,0
108,government impersonation,government impersonation,bank alert,0.9981977343559265,EDD,Account Alert,0
1005,bank alert,bank alert,investment and crypto,0.22705930471420288,VISA,Account Alert,0
675,delivery and toll,delivery and toll,delivery and toll,0.9999786615371704,USPS,Delivery,0
749,__fallback__,other,delivery and toll,0.9999595880508423,,Other,0
