id,category
13,job offer
14,other
20,prize and lottery
21,prize and lottery
23,delivery and toll
28,bank alert
32,bank alert
36,prize and lottery
38,prize and lottery
42,job offer
50,investment and crypto
56,investment and crypto
57,investment and crypto
58,romance
63,bank alert
68,investment and crypto
70,bank alert
73,bank alert
74,bank alert
80,bank alert
85,government impersonation
89,bank alert
95,other
96,prize and lottery
108,government impersonation
113,government impersonation
118,delivery and toll
122,government impersonation
124,delivery and toll
127,prize and lottery
133,prize and lottery
136,job offer
138,romance
151,prize and lottery
172,romance
177,romance
181,government impersonation
188,romance
193,romance
194,romance
199,romance
215,bank alert
218,bank alert
220,government impersonation
223,bank alert
225,government impersonation
229,bank alert
230,bank alert
235,utility shutoff
241,job offer
247,bank alert
252,bank alert
258,bank alert
276,prize and lottery
277,prize and lottery
286,prize and lottery
288,bank alert
289,bank alert
291,other
293,medicare and health
296,delivery and toll
304,bank alert
308,bank alert
311,government impersonation
315,romance
318,prize and lottery
321,bank alert
339,bank alert
346,bank alert
349,delivery and toll
350,prize and lottery
355,delivery and toll
364,bank alert
367,other
371,bank alert
375,bank alert
376,bank alert
377,bank alert
381,delivery and toll
396,bank alert
400,bank alert
401,bank alert
402,bank alert
404,romance
414,prize and lottery
417,government impersonation
419,bank alert
420,romance
427,bank alert
428,romance
432,bank alert
434,bank alert
437,romance
438,bank alert
440,bank alert
443,bank alert
446,bank alert
447,bank alert
451,prize and lottery
464,investment and crypto
470,prize and lottery
471,prize and lottery
473,prize and lottery
475,romance
478,prize and lottery
479,government impersonation
480,bank alert
483,other
487,prize and lottery
492,delivery and toll
495,bank alert
496,bank alert
505,bank alert
509,other
510,bank alert
511,romance
512,romance
517,romance
518,other
524,medicare and health
530,bank alert
532,bank alert
537,bank alert
542,bank alert
545,other
548,investment and crypto
550,job offer
551,job offer
553,delivery and toll
555,job offer
557,delivery and toll
559,bank alert
567,bank alert
568,bank alert
570,bank alert
571,bank alert
574,bank alert
579,other
580,bank alert
587,bank alert
588,delivery and toll
592,prize and lottery
597,job offer
600,romance
606,other
611,prize and lottery
616,delivery and toll
617,tech support
618,delivery and toll
619,delivery and toll
620,other
622,bank alert
627,job offer
634,prize and lottery
635,romance
638,prize and lottery
653,bank alert
660,other
675,delivery and toll
677,bank alert
682,bank alert
687,utility shutoff
692,bank alert
694,medicare and health
696,other
705,romance
708,government impersonation
709,romance
712,job offer
713,romance
718,government impersonation
719,job offer
724,government impersonation
733,government impersonation
741,other
742,other
743,other
744,government impersonation
749,other
750,other
751,other
756,romance
761,romance
764,romance
767,prize and lottery
772,government impersonation
776,other
782,bank alert
792,job offer
793,government impersonation
795,other
803,other
806,job offer
808,other
810,bank alert
824,romance
832,prize and lottery
840,prize and lottery
874,government impersonation
876,prize and lottery
878,government impersonation
889,government impersonation
890,government impersonation
892,government impersonation
893,government impersonation
894,government impersonation
895,government impersonation
896,government impersonation
902,government impersonation
903,job offer
911,government impersonation
917,government impersonation
918,government impersonation
920,government impersonation
922,government impersonation
923,prize and lottery
928,government impersonation
929,delivery and toll
930,government impersonation
933,delivery and toll
936,tech support
938,government impersonation
940,prize and lottery
941,government impersonation
943,government impersonation
947,government impersonation
950,prize and lottery
952,government impersonation
955,prize and lottery
958,tech support
960,government impersonation
962,government impersonation
963,tech support
964,bank alert
966,tech support
967,government impersonation
968,government impersonation
971,government impersonation
983,tech support
984,government impersonation
986,government impersonation
990,government impersonation
996,delivery and toll
997,investment and crypto
1000,bank alert
1005,bank alert
1009,tech support
1010,prize and lottery
1011,tech support
1012,government impersonation
1020,government impersonation
1023,government impersonation
1025,tech support
1032,government impersonation
1039,tech support
1041,other
1044,government impersonation
1045,government impersonation
1046,government impersonation
1047,delivery and toll
1050,government impersonation
