threshold,auc,ap,accuracy,precision,recall,specificity,tp,fp,tn,fn,arm,split,n,recall_lo,recall_hi
0.0,0.8103458105455633,0.7669777182078976,0.4237796843430646,0.4237796843430646,1.0,0.0,28945,39357,0,0,keyword,train,68302,,
0.0,0.8472349012080422,0.49988093683111473,0.0349802371541502,0.0349802371541502,1.0,0.0,354,9766,0,0,keyword,val,10120,,
0.0,0.850796346369452,0.49142116228667154,0.0349802371541502,0.0349802371541502,1.0,0.0,354,9766,0,0,keyword,test,10120,1.0,1.0
0.4968575096909142,0.9978808447538876,0.9971781459705154,0.9806301426019736,0.9681060195227765,0.9868025565728105,0.9760906573163605,28563,941,38416,382,tfidf,train,68302,,
0.4968575096909142,0.9911139593030588,0.9346897484280755,0.9791501976284585,0.6346516007532956,0.9519774011299436,0.9801351628097481,337,194,9572,17,tfidf,val,10120,,
0.4968575096909142,0.9892877514633381,0.931676186055348,0.9811264822134388,0.6607495069033531,0.9463276836158192,0.9823878763055499,335,172,9594,19,tfidf,test,10120,0.9217374276308321,0.968026918450435
0.16047520759960354,0.999999999561091,0.9999999988064575,0.9937190711838599,0.9853952474977872,1.0,0.9890997789465661,28945,429,38928,0,minilm,train,68302,,
0.16047520759960354,0.9892270080331739,0.9023561320431471,0.9525691699604744,0.42125,0.9519774011299436,0.9525906205201721,337,463,9303,17,minilm,val,10120,,
0.16047520759960354,0.9901769195791695,0.8889028323570317,0.9529644268774704,0.42355889724310775,0.9548022598870056,0.952897808724145,338,460,9306,16,minilm,test,10120,0.9308335395595009,0.9752072512345521
0.3840386000107347,1.0,1.0,0.9999853591402887,0.9999654529123195,1.0,0.999974591559316,28945,1,39356,0,qwen,train,68302,,
0.3840386000107347,0.996659111340972,0.943490191388691,0.9848814229249012,0.7124735729386892,0.9519774011299436,0.9860741347532255,337,136,9630,17,qwen,val,10120,,
0.3840386000107347,0.9945961487508258,0.9271032698257093,0.983201581027668,0.6916666666666667,0.9378531073446328,0.9848453819373336,332,148,9618,22,qwen,test,10120,0.9118292794920235,0.9627533769954973
0.6396466852513659,0.9999981785277451,0.9999974682218268,0.9997511053849082,0.9994130239624336,1.0,0.9995680565083721,28945,17,39340,0,qwen_feat,train,68302,,
0.6396466852513659,0.9982618701340173,0.9817851292025888,0.9938735177865613,0.8821989528795812,0.9519774011299436,0.9953921769404055,337,45,9721,17,qwen_feat,val,10120,,
0.6396466852513659,0.9958610583703869,0.9653385645712476,0.9941699604743083,0.8997289972899729,0.9378531073446328,0.9962113454843334,332,37,9729,22,qwen_feat,test,10120,0.9109195402298851,0.9642909974640744
0.9124536514282227,0.9999483184679472,0.9999294530758858,0.9950660302772979,0.9988491316174932,0.9894973225082052,0.9991615214574282,28641,33,39324,304,ann,train,68302,,
0.9124536514282227,0.9978890211745812,0.9711447657492515,0.9945652173913043,0.8986666666666666,0.9519774011299436,0.9961089494163424,337,38,9728,17,ann,val,10120,,
0.9124536514282227,0.9960703339500238,0.94935713775766,0.991798418972332,0.8732782369146006,0.8954802259887006,0.9952897808724145,317,46,9720,37,ann,test,10120,0.8594318964857208,0.9283795749704841
0.46107184300587933,1.0,1.0,0.9998114274938714,0.9957627118644068,1.0,0.999802683504341,1410,6,30402,0,qwen_feat_clean,train,31818,,
0.46107184300587933,0.9982685229858924,0.9859482964477297,0.9968379446640316,0.9573863636363636,0.9519774011299436,0.9984640589801351,337,15,9751,17,qwen_feat_clean,val,10120,,
0.46107184300587933,0.9963302290547975,0.9678325099484418,0.9958498023715415,0.9508670520231214,0.9293785310734464,0.9982592668441532,329,17,9749,25,qwen_feat_clean,test,10120,0.900301893311834,0.9554947789505315
